"filename","relative_path","official_label","model_pred","fold","true_probability","pred_probability","margin","reviewed_label","review_status","confidence","evidence_scale","has_floating_object","same_scene_group","review_notes"
"02486.jpg","训练集\02486.jpg","乱建","乱占","1","0.01859263889491558","0.9625087380409241","0.9439160991460085","","","","","","",""
"02487.jpg","训练集\02487.jpg","乱建","有漂浮物","2","0.005493402015417814","0.9757781028747559","0.963166686706245","","","","","","",""
"02488.jpg","训练集\02488.jpg","乱建","有漂浮物","2","0.006501275114715099","0.9923486709594727","0.9858473958447576","","","","","","",""
"02489.jpg","训练集\02489.jpg","乱建","有漂浮物","3","0.14298489689826965","0.753589928150177","0.6106050312519073","","","","","","",""
"00033.jpg","训练集\00033.jpg","正常","有漂浮物","2","4.424890903464984E-06","0.9998600482940674","0.9997352012578631","","","","","","",""
"00064.jpg","训练集\00064.jpg","正常","有漂浮物","2","0.0026608684565871954","0.97740638256073","0.9649606579914689","","","","","","",""
"00096.jpg","训练集\00096.jpg","正常","有漂浮物","1","0.00024820107501000166","0.9995099306106567","0.9992617295356467","","","","","","",""
"00100.jpg","训练集\00100.jpg","正常","有漂浮物","0","0.00022246928710956126","0.9994348883628845","0.9991628451389261","","","","","","",""
"00114.jpg","训练集\00114.jpg","正常","有漂浮物","3","0.02587725967168808","0.8331868052482605","0.7027660757303238","","","","","","",""
"01086.jpg","训练集\01086.jpg","正常","有漂浮物","3","5.872110341442749E-05","0.9994762539863586","0.9992974874912761","","","","","","",""
"02111.jpg","训练集\02111.jpg","正常","乱堆","2","9.33039264054969E-05","0.9976980090141296","0.9962363505037501","","","","","","",""
